"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
11,11,121,2022-01-13,"R$ 2.812,21",Padrão,ESPORTE E LAZER,Parceiro-62
33,29,321,2022-01-13,"R$ 8.656,21",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-01-13,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
126,118,2711,2022-01-13,"R$ 150.636,18",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
40,35,617,2022-01-14,"R$ 24.221,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
16,11,109,2022-01-14,"R$ 16.413,79",Padrão,VIAGEM E TURISMO,Parceiro-1561
10,6,111,2022-01-14,"R$ 42.644,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
19,18,301,2022-01-14,"R$ 9.076,93",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
6,4,53,2022-01-14,"R$ 11.399,05",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2786,2452,19540,2022-01-14,"R$ 2.203.651,41",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
24,24,411,2022-01-14,"R$ 22.981,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1260,1130,18348,2022-01-14,"R$ 945.503,02",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4320,3843,20347,2022-01-14,"R$ 822.434,02",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
441,297,4517,2022-01-14,"R$ 480.850,47",Padrão,VIAGEM E TURISMO,Parceiro-262
145,131,875,2022-01-14,"R$ 63.719,09",Promocional,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
821,598,3926,2022-01-14,"R$ 121.320,14",Padrão,BELEZA E SAÚDE,Parceiro-463
225,209,1501,2022-01-14,"R$ 49.350,30",Padrão,MODA E ACESSÓRIOS,Parceiro-49
52,47,373,2022-01-14,"R$ 21.609,45",Padrão,BELEZA E SAÚDE,Parceiro-51
140,118,1338,2022-01-14,"R$ 55.587,48",Promocional,ESPORTE E LAZER,Parceiro-525
60,36,467,2022-01-14,"R$ 5.140,72",Padrão,VIAGEM E TURISMO,Parceiro-6095
13,12,73,2022-01-14,"R$ 2.777,61",Padrão,ESPORTE E LAZER,Parceiro-62
27,23,315,2022-01-14,"R$ 7.553,63",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-01-14,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
101,91,2062,2022-01-14,"R$ 107.878,28",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
17,16,233,2022-01-15,"R$ 10.049,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
6,3,58,2022-01-15,"R$ 7.696,71",Padrão,VIAGEM E TURISMO,Parceiro-1561
9,8,83,2022-01-15,"R$ 52.551,51",Padrão,MODA E ACESSÓRIOS,Parceiro-169
14,14,78,2022-01-15,"R$ 7.033,30",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,7,41,2022-01-15,"R$ 25.569,71",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2279,2030,16016,2022-01-15,"R$ 1.287.236,33",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
8,8,150,2022-01-15,"R$ 928,08",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1136,1026,17055,2022-01-15,"R$ 799.555,39",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3808,3406,18542,2022-01-15,"R$ 699.113,34",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
386,261,2852,2022-01-15,"R$ 375.328,59",Padrão,VIAGEM E TURISMO,Parceiro-262
51,45,367,2022-01-15,"R$ 25.100,92",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
640,476,2922,2022-01-15,"R$ 88.630,01",Padrão,BELEZA E SAÚDE,Parceiro-463
184,165,1391,2022-01-15,"R$ 42.612,35",Padrão,MODA E ACESSÓRIOS,Parceiro-49
29,23,345,2022-01-15,"R$ 8.823,65",Padrão,BELEZA E SAÚDE,Parceiro-51
46,34,677,2022-01-15,"R$ 16.465,14",Padrão,ESPORTE E LAZER,Parceiro-525
32,14,344,2022-01-15,"R$ 3.837,01",Padrão,VIAGEM E TURISMO,Parceiro-6095
6,6,37,2022-01-15,"R$ 1.112,36",Padrão,ESPORTE E LAZER,Parceiro-62
29,24,252,2022-01-15,"R$ 7.369,62",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
85,81,1584,2022-01-15,"R$ 93.854,35",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
24,22,256,2022-01-16,"R$ 12.815,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
6,4,76,2022-01-16,"R$ 11.533,89",Padrão,VIAGEM E TURISMO,Parceiro-1561
5,2,56,2022-01-16,"R$ 22.819,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
12,11,84,2022-01-16,"R$ 5.773,19",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,6,59,2022-01-16,"R$ 21.593,88",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2386,2139,16302,2022-01-16,"R$ 1.256.142,96",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
12,11,194,2022-01-16,"R$ 958,78",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1172,1060,19321,2022-01-16,"R$ 840.275,41",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3850,3504,18752,2022-01-16,"R$ 627.934,41",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
528,341,3923,2022-01-16,"R$ 587.868,75",Padrão,VIAGEM E TURISMO,Parceiro-262
65,57,445,2022-01-16,"R$ 40.113,64",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
634,465,2900,2022-01-16,"R$ 89.925,99",Padrão,BELEZA E SAÚDE,Parceiro-463
203,196,1573,2022-01-16,"R$ 41.048,25",Padrão,MODA E ACESSÓRIOS,Parceiro-49
49,45,402,2022-01-16,"R$ 18.348,75",Padrão,BELEZA E SAÚDE,Parceiro-51
76,60,655,2022-01-16,"R$ 23.480,93",Padrão,ESPORTE E LAZER,Parceiro-525
55,34,483,2022-01-16,"R$ 4.547,15",Padrão,VIAGEM E TURISMO,Parceiro-6095
9,9,62,2022-01-16,"R$ 1.669,65",Padrão,ESPORTE E LAZER,Parceiro-62
30,29,203,2022-01-16,"R$ 9.365,45",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
80,74,1634,2022-01-16,"R$ 90.161,09",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
47,44,352,2022-01-17,"R$ 25.861,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
11,4,98,2022-01-17,"R$ 13.411,77",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,3,82,2022-01-17,"R$ 25.444,30",Padrão,MODA E ACESSÓRIOS,Parceiro-169
17,16,120,2022-01-17,"R$ 10.590,17",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
10,9,111,2022-01-17,"R$ 14.438,01",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2867,2614,21707,2022-01-17,"R$ 1.656.934,38",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
20,19,222,2022-01-17,"R$ 6.343,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1685,1499,22788,2022-01-17,"R$ 1.405.695,40",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5876,5344,26564,2022-01-17,"R$ 1.002.967,02",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
557,377,6591,2022-01-17,"R$ 632.694,23",Padrão,VIAGEM E TURISMO,Parceiro-262
65,59,559,2022-01-17,"R$ 39.159,03",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1090,700,4682,2022-01-17,"R$ 154.878,93",Padrão,BELEZA E SAÚDE,Parceiro-463
324,303,2050,2022-01-17,"R$ 62.726,61",Padrão,MODA E ACESSÓRIOS,Parceiro-49
68,57,554,2022-01-17,"R$ 16.915,50",Padrão,BELEZA E SAÚDE,Parceiro-51
71,53,723,2022-01-17,"R$ 27.517,93",Padrão,ESPORTE E LAZER,Parceiro-525
68,33,548,2022-01-17,"R$ 6.890,61",Padrão,VIAGEM E TURISMO,Parceiro-6095
6,6,50,2022-01-17,"R$ 1.366,70",Padrão,ESPORTE E LAZER,Parceiro-62
52,47,516,2022-01-17,"R$ 14.428,48",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
127,116,2412,2022-01-17,"R$ 111.745,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
36,35,318,2022-01-18,"R$ 15.469,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
9,0,100,2022-01-18,"R$ 9.512,64",Padrão,VIAGEM E TURISMO,Parceiro-1561
15,10,132,2022-01-18,"R$ 54.665,21",Padrão,MODA E ACESSÓRIOS,Parceiro-169
14,12,127,2022-01-18,"R$ 8.593,96",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
8,7,96,2022-01-18,"R$ 14.449,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2998,2667,21803,2022-01-18,"R$ 1.636.917,88",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
19,19,174,2022-01-18,"R$ 4.931,13",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1907,1699,19033,2022-01-18,"R$ 1.524.274,68",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5428,4949,24579,2022-01-18,"R$ 973.735,19",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
573,385,5980,2022-01-18,"R$ 580.482,79",Padrão,VIAGEM E TURISMO,Parceiro-262
74,63,532,2022-01-18,"R$ 29.820,67",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1039,690,4959,2022-01-18,"R$ 157.950,95",Padrão,BELEZA E SAÚDE,Parceiro-463
262,252,1907,2022-01-18,"R$ 56.260,46",Padrão,MODA E ACESSÓRIOS,Parceiro-49
53,50,489,2022-01-18,"R$ 22.353,05",Padrão,BELEZA E SAÚDE,Parceiro-51
62,48,585,2022-01-18,"R$ 16.732,68",Padrão,ESPORTE E LAZER,Parceiro-525
59,34,474,2022-01-18,"R$ 5.729,95",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,13,99,2022-01-18,"R$ 2.402,99",Padrão,ESPORTE E LAZER,Parceiro-62
57,47,398,2022-01-18,"R$ 15.766,67",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,3,2022-01-18,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
121,115,3289,2022-01-18,"R$ 147.698,70",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
35,34,309,2022-01-19,"R$ 26.065,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
14,2,142,2022-01-19,"R$ 14.198,75",Padrão,VIAGEM E TURISMO,Parceiro-1561
10,8,98,2022-01-19,"R$ 18.763,18",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,8,128,2022-01-19,"R$ 4.789,51",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
13,13,81,2022-01-19,"R$ 26.701,82",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3484,3077,29402,2022-01-19,"R$ 2.450.144,12",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
14,12,168,2022-01-19,"R$ 7.818,53",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1677,1487,16986,2022-01-19,"R$ 1.326.235,68",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5182,4662,23639,2022-01-19,"R$ 1.013.582,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
547,365,6151,2022-01-19,"R$ 528.663,47",Padrão,VIAGEM E TURISMO,Parceiro-262
72,67,528,2022-01-19,"R$ 34.725,75",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
986,650,4802,2022-01-19,"R$ 128.072,55",Padrão,BELEZA E SAÚDE,Parceiro-463
258,235,1802,2022-01-19,"R$ 55.626,31",Padrão,MODA E ACESSÓRIOS,Parceiro-49
39,36,420,2022-01-19,"R$ 14.423,20",Padrão,BELEZA E SAÚDE,Parceiro-51
67,51,591,2022-01-19,"R$ 20.382,10",Padrão,ESPORTE E LAZER,Parceiro-525
49,24,469,2022-01-19,"R$ 4.677,88",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,14,101,2022-01-19,"R$ 2.870,77",Padrão,ESPORTE E LAZER,Parceiro-62
53,47,483,2022-01-19,"R$ 15.660,98",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-01-19,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
103,99,2692,2022-01-19,"R$ 92.515,54",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
35,32,318,2022-01-20,"R$ 28.242,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
13,6,110,2022-01-20,"R$ 14.402,09",Padrão,VIAGEM E TURISMO,Parceiro-1561
7,6,82,2022-01-20,"R$ 27.050,60",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,8,96,2022-01-20,"R$ 4.917,15",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
22,18,166,2022-01-20,"R$ 39.488,67",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3612,3180,31725,2022-01-20,"R$ 2.784.962,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
23,20,200,2022-01-20,"R$ 14.848,13",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1117,994,10854,2022-01-20,"R$ 857.235,22",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4708,4257,21809,2022-01-20,"R$ 924.421,15",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
525,363,5657,2022-01-20,"R$ 461.200,04",Padrão,VIAGEM E TURISMO,Parceiro-262
78,67,456,2022-01-20,"R$ 32.005,99",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
999,656,4333,2022-01-20,"R$ 147.482,42",Padrão,BELEZA E SAÚDE,Parceiro-463
297,279,2014,2022-01-20,"R$ 62.269,28",Padrão,MODA E ACESSÓRIOS,Parceiro-49
43,38,554,2022-01-20,"R$ 15.772,30",Padrão,BELEZA E SAÚDE,Parceiro-51
56,37,572,2022-01-20,"R$ 14.554,26",Padrão,ESPORTE E LAZER,Parceiro-525
54,38,463,2022-01-20,"R$ 4.828,59",Padrão,VIAGEM E TURISMO,Parceiro-6095
13,13,106,2022-01-20,"R$ 2.185,85",Padrão,ESPORTE E LAZER,Parceiro-62
47,38,326,2022-01-20,"R$ 13.242,80",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,8,2022-01-20,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
109,104,2243,2022-01-20,"R$ 123.425,53",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
18,17,207,2022-01-21,"R$ 14.312,30",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
9,3,80,2022-01-21,"R$ 6.878,40",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,5,86,2022-01-21,"R$ 4.779,95",Padrão,MODA E ACESSÓRIOS,Parceiro-169
15,14,132,2022-01-21,"R$ 7.608,21",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
20,14,87,2022-01-21,"R$ 49.949,04",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3619,3126,29171,2022-01-21,"R$ 2.417.527,83",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
9,9,118,2022-01-21,"R$ 18.670,36",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
960,845,9580,2022-01-21,"R$ 665.027,01",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4465,4035,20845,2022-01-21,"R$ 853.148,85",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
446,309,5514,2022-01-21,"R$ 490.120,86",Padrão,VIAGEM E TURISMO,Parceiro-262
46,42,402,2022-01-21,"R$ 24.288,51",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
874,567,3869,2022-01-21,"R$ 119.534,55",Padrão,BELEZA E SAÚDE,Parceiro-463
216,199,1552,2022-01-21,"R$ 49.440,01",Padrão,MODA E ACESSÓRIOS,Parceiro-49
76,66,511,2022-01-21,"R$ 26.678,90",Padrão,BELEZA E SAÚDE,Parceiro-51
44,34,488,2022-01-21,"R$ 11.689,69",Padrão,ESPORTE E LAZER,Parceiro-525
45,30,348,2022-01-21,"R$ 4.237,76",Padrão,VIAGEM E TURISMO,Parceiro-6095
10,10,110,2022-01-21,"R$ 1.966,44",Padrão,ESPORTE E LAZER,Parceiro-62
31,30,262,2022-01-21,"R$ 8.567,47",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-01-21,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
97,91,1955,2022-01-21,"R$ 87.605,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
19,17,169,2022-01-22,"R$ 18.468,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
6,0,64,2022-01-22,"R$ 2.879,09",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,75,2022-01-22,"R$ 18.497,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
7,7,79,2022-01-22,"R$ 3.053,63",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,7,89,2022-01-22,"R$ 22.990,49",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2200,1955,17716,2022-01-22,"R$ 1.509.849,19",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
7,7,94,2022-01-22,"R$ 549,46",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
779,704,8127,2022-01-22,"R$ 894.122,73",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3800,3426,17589,2022-01-22,"R$ 624.171,39",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
335,228,3403,2022-01-22,"R$ 320.257,64",Padrão,VIAGEM E TURISMO,Parceiro-262
36,32,366,2022-01-22,"R$ 23.575,40",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
630,426,2749,2022-01-22,"R$ 86.075,84",Padrão,BELEZA E SAÚDE,Parceiro-463
203,200,1486,2022-01-22,"R$ 43.847,01",Padrão,MODA E ACESSÓRIOS,Parceiro-49
44,40,347,2022-01-22,"R$ 21.089,27",Padrão,BELEZA E SAÚDE,Parceiro-51
56,47,477,2022-01-22,"R$ 15.122,14",Padrão,ESPORTE E LAZER,Parceiro-525
41,21,284,2022-01-22,"R$ 3.012,72",Padrão,VIAGEM E TURISMO,Parceiro-6095
10,10,82,2022-01-22,"R$ 1.797,43",Padrão,ESPORTE E LAZER,Parceiro-62
16,13,137,2022-01-22,"R$ 5.444,63",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
71,66,1524,2022-01-22,"R$ 82.779,66",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
15,15,165,2022-01-23,"R$ 14.350,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
5,2,83,2022-01-23,"R$ 3.683,96",Padrão,VIAGEM E TURISMO,Parceiro-1561
7,3,93,2022-01-23,"R$ 12.233,80",Padrão,MODA E ACESSÓRIOS,Parceiro-169
8,8,84,2022-01-23,"R$ 5.270,97",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
16,12,89,2022-01-23,"R$ 37.737,91",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2081,1855,17108,2022-01-23,"R$ 1.529.781,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
11,9,95,2022-01-23,"R$ 3.109,37",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
802,720,8559,2022-01-23,"R$ 531.215,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3813,3476,19179,2022-01-23,"R$ 687.989,56",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
409,287,3948,2022-01-23,"R$ 487.271,85",Padrão,VIAGEM E TURISMO,Parceiro-262
61,58,429,2022-01-23,"R$ 26.316,25",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
615,401,2689,2022-01-23,"R$ 94.674,38",Padrão,BELEZA E SAÚDE,Parceiro-463
245,227,1787,2022-01-23,"R$ 52.461,48",Padrão,MODA E ACESSÓRIOS,Parceiro-49
43,41,356,2022-01-23,"R$ 15.921,20",Padrão,BELEZA E SAÚDE,Parceiro-51
61,47,526,2022-01-23,"R$ 18.512,61",Padrão,ESPORTE E LAZER,Parceiro-525
39,14,362,2022-01-23,"R$ 3.402,89",Padrão,VIAGEM E TURISMO,Parceiro-6095
12,12,133,2022-01-23,"R$ 3.794,27",Padrão,ESPORTE E LAZER,Parceiro-62
27,26,153,2022-01-23,"R$ 10.915,55",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-01-23,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
87,86,1535,2022-01-23,"R$ 106.344,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
47,46,859,2022-01-24,"R$ 35.886,43",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
21,6,134,2022-01-24,"R$ 24.896,24",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,83,2022-01-24,"R$ 30.189,30",Padrão,MODA E ACESSÓRIOS,Parceiro-169
16,13,174,2022-01-24,"R$ 9.958,08",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
17,15,171,2022-01-24,"R$ 48.630,16",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3158,2843,27769,2022-01-24,"R$ 2.271.831,79",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
19,18,267,2022-01-24,"R$ 6.999,66",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1644,1450,20756,2022-01-24,"R$ 1.418.513,41",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4924,4487,22552,2022-01-24,"R$ 900.242,85",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
530,364,6193,2022-01-24,"R$ 584.552,70",Padrão,VIAGEM E TURISMO,Parceiro-262
63,54,479,2022-01-24,"R$ 26.218,68",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1491,962,7086,2022-01-24,"R$ 235.418,20",Promocional,BELEZA E SAÚDE,Parceiro-463
302,281,2092,2022-01-24,"R$ 63.494,78",Padrão,MODA E ACESSÓRIOS,Parceiro-49
60,58,514,2022-01-24,"R$ 21.896,30",Padrão,BELEZA E SAÚDE,Parceiro-51
66,58,657,2022-01-24,"R$ 19.016,69",Padrão,ESPORTE E LAZER,Parceiro-525
61,29,480,2022-01-24,"R$ 6.634,09",Padrão,VIAGEM E TURISMO,Parceiro-6095
20,20,141,2022-01-24,"R$ 4.127,30",Padrão,ESPORTE E LAZER,Parceiro-62
24,20,282,2022-01-24,"R$ 8.516,30",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-01-24,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
128,123,2458,2022-01-24,"R$ 113.062,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
44,44,796,2022-01-25,"R$ 37.098,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
12,8,115,2022-01-25,"R$ 5.524,13",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,2,59,2022-01-25,"R$ 20.643,30",Padrão,MODA E ACESSÓRIOS,Parceiro-169
11,11,128,2022-01-25,"R$ 6.490,03",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
23,17,183,2022-01-25,"R$ 69.952,61",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
4066,3608,33738,2022-01-25,"R$ 3.434.986,08",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
15,15,225,2022-01-25,"R$ 9.565,00",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1659,1479,17007,2022-01-25,"R$ 1.257.420,08",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4845,4421,22089,2022-01-25,"R$ 879.043,16",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
556,370,6154,2022-01-25,"R$ 610.722,15",Padrão,VIAGEM E TURISMO,Parceiro-262
93,89,610,2022-01-25,"R$ 52.498,98",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1280,822,5859,2022-01-25,"R$ 184.933,41",Promocional,BELEZA E SAÚDE,Parceiro-463
327,301,2524,2022-01-25,"R$ 73.207,91",Padrão,MODA E ACESSÓRIOS,Parceiro-49
47,42,397,2022-01-25,"R$ 17.161,90",Padrão,BELEZA E SAÚDE,Parceiro-51
62,43,648,2022-01-25,"R$ 16.991,33",Padrão,ESPORTE E LAZER,Parceiro-525
45,19,442,2022-01-25,"R$ 3.238,30",Padrão,VIAGEM E TURISMO,Parceiro-6095
10,9,93,2022-01-25,"R$ 1.719,34",Padrão,ESPORTE E LAZER,Parceiro-62
38,28,317,2022-01-25,"R$ 12.266,10",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,2,2022-01-25,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
108,103,1760,2022-01-25,"R$ 98.922,62",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
28,26,732,2022-01-26,"R$ 19.912,74",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
9,2,90,2022-01-26,"R$ 8.878,78",Padrão,VIAGEM E TURISMO,Parceiro-1561
3,3,86,2022-01-26,"R$ 8.497,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
18,15,128,2022-01-26,"R$ 11.353,41",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
11,9,152,2022-01-26,"R$ 52.245,78",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3975,3556,35398,2022-01-26,"R$ 2.743.676,39",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
16,13,186,2022-01-26,"R$ 3.711,99",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1660,1476,18324,2022-01-26,"R$ 1.361.394,48",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5321,4609,38206,2022-01-26,"R$ 904.168,22",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
549,384,5281,2022-01-26,"R$ 570.718,85",Padrão,VIAGEM E TURISMO,Parceiro-262
63,61,404,2022-01-26,"R$ 22.915,56",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1127,730,5465,2022-01-26,"R$ 164.848,34",Padrão,BELEZA E SAÚDE,Parceiro-463
306,278,2249,2022-01-26,"R$ 58.634,66",Padrão,MODA E ACESSÓRIOS,Parceiro-49
38,30,432,2022-01-26,"R$ 13.944,90",Padrão,BELEZA E SAÚDE,Parceiro-51
77,60,754,2022-01-26,"R$ 22.365,03",Padrão,ESPORTE E LAZER,Parceiro-525
58,21,499,2022-01-26,"R$ 4.788,37",Padrão,VIAGEM E TURISMO,Parceiro-6095
15,15,107,2022-01-26,"R$ 3.304,21",Padrão,ESPORTE E LAZER,Parceiro-62
29,25,321,2022-01-26,"R$ 8.982,58",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
